#  N   L2   H1   num-CG-iter 
004 0.158757  2.29953  30
006 0.0903256  1.67756  43
008 0.0572371  1.30084  58
012 0.0282588  0.891297  84
016 0.0165885  0.675689  113
024 0.00762138  0.454139  169
032 0.00434041  0.341608  224
048 0.00194703  0.228224  331
