0 0 0 0
0.2 0 0 1
0 0.2 0 6
0 0 0 0
0 0 0.2 36
0.2 0 0 1

0 0 0.2 36
0 0.2 0 6


0.2 0 0 1
0 0.2 0 6
0 0 0.2 36
0.2 0 0 1
0.2 0 0.2 37
0 0.2 0 6

0.2 0 0.2 37
0 0 0.2 36


0 0.2 0 6
0 0 0.2 36
0.2 0 0.2 37
0 0.2 0 6
0 0.2 0.2 42
0 0 0.2 36

0 0.2 0.2 42
0.2 0 0.2 37


0.2 0 0 1
0 0.2 0 6
0.2 0 0.2 37
0.2 0 0 1
0.2 0.2 0 7
0 0.2 0 6

0.2 0.2 0 7
0.2 0 0.2 37


0 0.2 0 6
0.2 0 0.2 37
0.2 0.2 0 7
0 0.2 0 6
0 0.2 0.2 42
0.2 0 0.2 37

0 0.2 0.2 42
0.2 0.2 0 7


0.2 0 0.2 37
0.2 0.2 0 7
0 0.2 0.2 42
0.2 0 0.2 37
0.2 0.2 0.2 43
0.2 0.2 0 7

0.2 0.2 0.2 43
0 0.2 0.2 42


0.2 0 0 1
0.4 0 0 2
0.2 0.2 0 7
0.2 0 0 1
0.2 0 0.2 37
0.4 0 0 2

0.2 0 0.2 37
0.2 0.2 0 7


0.4 0 0 2
0.2 0.2 0 7
0.2 0 0.2 37
0.4 0 0 2
0.4 0 0.2 38
0.2 0.2 0 7

0.4 0 0.2 38
0.2 0 0.2 37


0.2 0.2 0 7
0.2 0 0.2 37
0.4 0 0.2 38
0.2 0.2 0 7
0.2 0.2 0.2 43
0.2 0 0.2 37

0.2 0.2 0.2 43
0.4 0 0.2 38


0.4 0 0 2
0.2 0.2 0 7
0.4 0 0.2 38
0.4 0 0 2
0.4 0.2 0 8
0.2 0.2 0 7

0.4 0.2 0 8
0.4 0 0.2 38


0.2 0.2 0 7
0.4 0 0.2 38
0.4 0.2 0 8
0.2 0.2 0 7
0.2 0.2 0.2 43
0.4 0 0.2 38

0.2 0.2 0.2 43
0.4 0.2 0 8


0.4 0 0.2 38
0.4 0.2 0 8
0.2 0.2 0.2 43
0.4 0 0.2 38
0.4 0.2 0.2 44
0.4 0.2 0 8

0.4 0.2 0.2 44
0.2 0.2 0.2 43


0.4 0 0 2
0.6 0 0 3
0.4 0.2 0 8
0.4 0 0 2
0.4 0 0.2 38
0.6 0 0 3

0.4 0 0.2 38
0.4 0.2 0 8


0.6 0 0 3
0.4 0.2 0 8
0.4 0 0.2 38
0.6 0 0 3
0.6 0 0.2 39
0.4 0.2 0 8

0.6 0 0.2 39
0.4 0 0.2 38


0.4 0.2 0 8
0.4 0 0.2 38
0.6 0 0.2 39
0.4 0.2 0 8
0.4 0.2 0.2 44
0.4 0 0.2 38

0.4 0.2 0.2 44
0.6 0 0.2 39


0.6 0 0 3
0.4 0.2 0 8
0.6 0 0.2 39
0.6 0 0 3
